2 100 11,9 13,1 13,4 13,8 14,2 15,8 18,0 20,4 25,9 11,9 13,0 14,2 15,8 17,9 20,9 25,3
2 101 11,9 13,1 13,4 13,9 14,2 15,8 18,1 20,5 26,0 12,0 13,0 14,2 15,8 18,0 20,9 25,5
2 102 11,9 13,1 13,4 13,9 14,2 15,9 18,1 20,6 26,2 12,0 13,0 14,3 15,9 18,0 21,0 25,6
2 103 11,9 13,2 13,4 13,9 14,2 15,9 18,2 20,7 26,3 12,0 13,0 14,3 15,9 18,1 21,1 25,8
2 104 11,9 13,2 13,5 13,9 14,3 15,9 18,2 20,7 26,5 12,0 13,0 14,3 15,9 18,1 21,2 25,9
2 105 12,0 13,2 13,5 14,0 14,3 16,0 18,3 20,8 26,7 12,0 13,1 14,3 16,0 18,2 21,3 26,1
2 106 12,0 13,2 13,5 14,0 14,3 16,0 18,3 20,9 26,8 12,1 13,1 14,4 16,0 18,2 21,3 26,2
2 107 12,0 13,3 13,5 14,0 14,4 16,1 18,4 21,0 27,0 12,1 13,1 14,4 16,1 18,3 21,4 26,4
2 108 12,0 13,3 13,6 14,0 14,4 16,1 18,4 21,1 27,1 12,1 13,1 14,4 16,1 18,3 21,5 26,5
2 109 12,0 13,3 13,6 14,1 14,4 16,1 18,5 21,1 27,3 12,1 13,2 14,5 16,1 18,4 21,6 26,7
2 110 12,1 13,3 13,6 14,1 14,4 16,2 18,5 21,2 27,5 12,1 13,2 14,5 16,2 18,4 21,7 26,8
2 111 12,1 13,4 13,6 14,1 14,5 16,2 18,6 21,3 27,6 12,2 13,2 14,5 16,2 18,5 21,8 27,0
2 112 12,1 13,4 13,7 14,2 14,5 16,3 18,6 21,4 27,8 12,2 13,2 14,6 16,3 18,6 21,9 27,2
2 113 12,1 13,4 13,7 14,2 14,5 16,3 18,7 21,5 28,0 12,2 13,3 14,6 16,3 18,6 21,9 27,3
2 114 12,1 13,4 13,7 14,2 14,6 16,3 18,8 21,6 28,1 12,2 13,3 14,6 16,3 18,7 22,0 27,5
2 115 12,2 13,5 13,8 14,3 14,6 16,4 18,8 21,6 28,3 12,3 13,3 14,7 16,4 18,7 22,1 27,6
2 116 12,2 13,5 13,8 14,3 14,6 16,4 18,9 21,7 28,4 12,3 13,4 14,7 16,4 18,8 22,2 27,8
2 117 12,2 13,5 13,8 14,3 14,7 16,5 18,9 21,8 28,6 12,3 13,4 14,7 16,5 18,8 22,3 27,9
2 118 12,2 13,6 13,9 14,3 14,7 16,5 19,0 21,9 28,8 12,3 13,4 14,8 16,5 18,9 22,4 28,1
2 119 12,3 13,6 13,9 14,4 14,7 16,6 19,1 22,0 28,9 12,4 13,4 14,8 16,6 19,0 22,5 28,2
2 120 12,3 13,6 13,9 14,4 14,8 16,6 19,1 22,1 29,1 12,4 13,5 14,8 16,6 19,0 22,6 28,4
2 121 12,3 13,6 14,0 14,5 14,8 16,7 19,2 22,2 29,3 12,4 13,5 14,9 16,7 19,1 22,7 28,5
2 122 12,3 13,7 14,0 14,5 14,9 16,7 19,3 22,2 29,4 12,4 13,5 14,9 16,7 19,2 22,8 28,7
2 123 12,4 13,7 14,0 14,5 14,9 16,8 19,3 22,3 29,6 12,5 13,6 15,0 16,8 19,2 22,8 28,8
2 124 12,4 13,7 14,1 14,6 14,9 16,8 19,4 22,4 29,7 12,5 13,6 15,0 16,8 19,3 22,9 29,0
2 125 12,4 13,8 14,1 14,6 15,0 16,9 19,5 22,5 29,9 12,5 13,6 15,0 16,9 19,4 23,0 29,1
2 126 12,5 13,8 14,1 14,6 15,0 16,9 19,5 22,6 30,1 12,5 13,7 15,1 16,9 19,4 23,1 29,3
2 127 12,5 13,9 14,2 14,7 15,1 17,0 19,6 22,7 30,2 12,6 13,7 15,1 17,0 19,5 23,2 29,4
